Center_No,Sl.No.,Tot_enrol,S_1_5_Boys,S_1_5_Girls,S_6_8_Boys,S_6_8_Girls,Loc_type
GXZ-CU1CU3CU6,136,376,0,216,0,160,Rural
GXZ-CU1CU3CU7,137,387,207,0,180,0,Rural
GXZ-CU1CU3CU8,138,170,50,50,41,29,Rural
GXZ-CU1CU3CU9,139,169,40,55,28,46,Rural
GXZ-CU1CU4CU0,140,113,36,34,23,20,Rural
GXZ-CU1CU4CU1,141,721,212,188,166,155,Rural
GXZ-CU1CU4CU2,142,35,16,19,0,0,Rural
GXZ-CU1CU4CU3,143,64,38,26,0,0,Rural
GXZ-CU1CU4CU4,144,127,46,27,30,24,Rural
GXZ-CU1CU4CU5,145,211,54,69,44,44,Rural
GXZ-CU1CU4CU6,146,182,56,57,41,28,Rural
GXZ-CU1CU4CU7,147,196,63,54,34,45,Rural
GXZ-CU1CU4CU8,148,192,61,47,39,45,Rural
GXZ-CU1CU4CU9,149,223,61,65,46,51,Rural
GXZ-CU1CU5CU0,150,75,25,26,14,10,Rural
GXZ-CU1CU5CU1,151,497,124,138,127,108,Rural
GXZ-CU1CU5CU2,152,236,65,72,62,37,Rural
GXZ-CU1CU5CU3,153,259,82,79,46,52,Rural
GXZ-CU1CU5CU4,154,99,30,31,16,22,Rural
GXZ-CU1CU5CU5,155,325,94,111,51,69,Rural
GXZ-CU1CU5CU6,156,210,124,0,86,0,SemiUrban
GXZ-CU1CU5CU7,157,186,0,113,0,73,SemiUrban
GXZ-CU1CU5CU8,158,304,97,76,74,57,SemiUrban
GXZ-CU1CU5CU9,159,306,85,97,65,59,Rural
GXZ-CU1CU6CU0,160,384,95,122,84,83,Rural
GXZ-CU1CU6CU1,161,49,28,21,0,0,Rural
GXZ-CU1CU6CU2,162,349,118,88,81,62,Rural
GXZ-CU1CU6CU3,163,227,69,70,52,36,Rural
GXZ-CU1CU6CU4,164,341,177,0,164,0,Rural
GXZ-CU1CU6CU5,165,322,0,182,0,140,Rural
GXZ-CU1CU6CU6,166,82,31,18,18,15,Rural
GXZ-CU1CU6CU7,167,58,23,24,4,7,Rural
GXZ-CU1CU6CU8,168,371,97,102,95,77,Rural
GXZ-CU1CU6CU9,169,64,23,41,0,0,Rural
GXZ-CU1CU7CU0,170,67,30,20,7,10,Rural
GXZ-CU1CU7CU1,171,376,102,105,80,89,Rural
GXZ-CU1CU7CU2,172,297,73,97,76,51,Rural
GXZ-CU1CU7CU3,173,392,107,135,91,59,Rural
GXZ-CU1CU7CU4,174,514,143,141,117,113,Rural
GXZ-CU1CU7CU5,175,71,25,24,11,11,Rural
GXZ-CU1CU7CU6,176,525,160,154,108,103,Rural
GXZ-CU1CU7CU7,177,411,111,133,86,81,Rural
GXZ-CU1CU7CU8,178,499,145,144,111,99,Rural
GXZ-CU1CU7CU9,179,311,82,107,52,70,Rural
GXZ-CU1CU8CU0,180,238,78,71,53,36,Rural
GXZ-CU1CU8CU1,181,501,168,132,95,106,Rural
GXZ-CU1CU8CU2,182,72,32,30,6,4,Rural
GXZ-CU1CU8CU3,183,95,50,45,0,0,Rural
GXZ-CU1CU8CU4,184,576,169,147,123,137,Rural
GXZ-CU1CU8CU5,185,40,23,17,0,0,Rural
GXZ-CU1CU8CU6,186,304,70,91,68,75,Rural
KYZ-CU1,1,8,2,6,0,0,Rural
KYZ-CU2,2,113,31,44,20,18,Rural
KYZ-CU3,3,257,88,70,48,51,Rural
KYZ-CU4,4,270,77,67,69,57,Rural
KYZ-CU5,5,197,54,48,54,41,Rural
KYZ-CU6,6,201,49,64,50,38,Rural
