Link_ID,Link_address,Name,Location,City
1,https://www.tripadvisor.in/Restaurant_Review-g304554-d6210285-Reviews-China_Bistro-Mumbai_Maharashtra.html,China Bistro,Worli,Mumbai
2,https://www.tripadvisor.in/Restaurant_Review-g304554-d6210285-Reviews-or10-China_Bistro-Mumbai_Maharashtra.html,China Bistro,Worli,Mumbai
3,https://www.tripadvisor.in/Restaurant_Review-g304554-d6210285-Reviews-or20-China_Bistro-Mumbai_Maharashtra.html,China Bistro,Worli,Mumbai
4,https://www.tripadvisor.in/Restaurant_Review-g304554-d6210285-Reviews-or30-China_Bistro-Mumbai_Maharashtra.html,China Bistro,Worli,Mumbai
5,https://www.tripadvisor.in/Restaurant_Review-g304554-d6210285-Reviews-or40-China_Bistro-Mumbai_Maharashtra.html,China Bistro,Worli,Mumbai
6,https://www.tripadvisor.in/Restaurant_Review-g304554-d6210285-Reviews-or50-China_Bistro-Mumbai_Maharashtra.html,China Bistro,Worli,Mumbai
7,https://www.tripadvisor.in/Restaurant_Review-g304554-d6210285-Reviews-or60-China_Bistro-Mumbai_Maharashtra.html,China Bistro,Worli,Mumbai
8,https://www.tripadvisor.in/Restaurant_Review-g304554-d6210285-Reviews-or70-China_Bistro-Mumbai_Maharashtra.html,China Bistro,Worli,Mumbai
9,https://www.tripadvisor.in/Restaurant_Review-g304554-d6210285-Reviews-or80-China_Bistro-Mumbai_Maharashtra.html,China Bistro,Worli,Mumbai
10,https://www.tripadvisor.in/Restaurant_Review-g304554-d6210285-Reviews-or90-China_Bistro-Mumbai_Maharashtra.html,China Bistro,Worli,Mumbai
11,https://www.tripadvisor.in/Restaurant_Review-g304554-d6210285-Reviews-or100-China_Bistro-Mumbai_Maharashtra.html,China Bistro,Worli,Mumbai
12,https://www.tripadvisor.in/Restaurant_Review-g304554-d6210285-Reviews-or110-China_Bistro-Mumbai_Maharashtra.html,China Bistro,Worli,Mumbai
13,https://www.tripadvisor.in/Restaurant_Review-g304554-d6210285-Reviews-or120-China_Bistro-Mumbai_Maharashtra.html,China Bistro,Worli,Mumbai
14,https://www.tripadvisor.in/Restaurant_Review-g304554-d785384-Reviews-All_Stir_Fry-Mumbai_Maharashtra.html,All Stir Fry,Colaba,Mumbai
15,https://www.tripadvisor.in/Restaurant_Review-g304554-d785384-Reviews-or10-All_Stir_Fry-Mumbai_Maharashtra.html,All Stir Fry,Colaba,Mumbai
16,https://www.tripadvisor.in/Restaurant_Review-g304554-d785384-Reviews-or20-All_Stir_Fry-Mumbai_Maharashtra.html,All Stir Fry,Colaba,Mumbai
17,https://www.tripadvisor.in/Restaurant_Review-g304554-d785384-Reviews-or30-All_Stir_Fry-Mumbai_Maharashtra.html,All Stir Fry,Colaba,Mumbai
18,https://www.tripadvisor.in/Restaurant_Review-g304554-d785384-Reviews-or40-All_Stir_Fry-Mumbai_Maharashtra.html,All Stir Fry,Colaba,Mumbai
19,https://www.tripadvisor.in/Restaurant_Review-g304554-d785384-Reviews-or50-All_Stir_Fry-Mumbai_Maharashtra.html,All Stir Fry,Colaba,Mumbai
20,https://www.tripadvisor.in/Restaurant_Review-g304554-d785384-Reviews-or60-All_Stir_Fry-Mumbai_Maharashtra.html,All Stir Fry,Colaba,Mumbai
21,https://www.tripadvisor.in/Restaurant_Review-g304554-d785384-Reviews-or70-All_Stir_Fry-Mumbai_Maharashtra.html,All Stir Fry,Colaba,Mumbai
22,https://www.tripadvisor.in/Restaurant_Review-g304554-d785384-Reviews-or80-All_Stir_Fry-Mumbai_Maharashtra.html,All Stir Fry,Colaba,Mumbai
23,https://www.tripadvisor.in/Restaurant_Review-g304554-d785384-Reviews-or90-All_Stir_Fry-Mumbai_Maharashtra.html,All Stir Fry,Colaba,Mumbai
24,https://www.tripadvisor.in/Restaurant_Review-g304554-d785384-Reviews-or100-All_Stir_Fry-Mumbai_Maharashtra.html,All Stir Fry,Colaba,Mumbai
25,https://www.tripadvisor.in/Restaurant_Review-g304554-d785384-Reviews-or110-All_Stir_Fry-Mumbai_Maharashtra.html,All Stir Fry,Colaba,Mumbai
26,https://www.tripadvisor.in/Restaurant_Review-g304554-d785384-Reviews-or120-All_Stir_Fry-Mumbai_Maharashtra.html,All Stir Fry,Colaba,Mumbai
27,https://www.tripadvisor.in/Restaurant_Review-g304554-d785384-Reviews-or130-All_Stir_Fry-Mumbai_Maharashtra.html,All Stir Fry,Colaba,Mumbai
28,https://www.tripadvisor.in/Restaurant_Review-g304554-d785384-Reviews-or140-All_Stir_Fry-Mumbai_Maharashtra.html,All Stir Fry,Colaba,Mumbai
29,https://www.tripadvisor.in/Restaurant_Review-g304554-d785384-Reviews-or150-All_Stir_Fry-Mumbai_Maharashtra.html,All Stir Fry,Colaba,Mumbai
30,https://www.tripadvisor.in/Restaurant_Review-g304554-d785384-Reviews-or160-All_Stir_Fry-Mumbai_Maharashtra.html,All Stir Fry,Colaba,Mumbai
31,https://www.tripadvisor.in/Restaurant_Review-g304554-d785384-Reviews-or170-All_Stir_Fry-Mumbai_Maharashtra.html,All Stir Fry,Colaba,Mumbai
32,https://www.tripadvisor.in/Restaurant_Review-g304554-d785384-Reviews-or180-All_Stir_Fry-Mumbai_Maharashtra.html,All Stir Fry,Colaba,Mumbai
33,https://www.tripadvisor.in/Restaurant_Review-g304554-d785384-Reviews-or190-All_Stir_Fry-Mumbai_Maharashtra.html,All Stir Fry,Colaba,Mumbai
34,https://www.tripadvisor.in/Restaurant_Review-g304554-d785384-Reviews-or200-All_Stir_Fry-Mumbai_Maharashtra.html,All Stir Fry,Colaba,Mumbai
35,https://www.tripadvisor.in/Restaurant_Review-g304554-d785384-Reviews-or210-All_Stir_Fry-Mumbai_Maharashtra.html,All Stir Fry,Colaba,Mumbai
36,https://www.tripadvisor.in/Restaurant_Review-g304554-d785384-Reviews-or220-All_Stir_Fry-Mumbai_Maharashtra.html,All Stir Fry,Colaba,Mumbai
37,https://www.tripadvisor.in/Restaurant_Review-g304554-d785384-Reviews-or230-All_Stir_Fry-Mumbai_Maharashtra.html,All Stir Fry,Colaba,Mumbai
38,https://www.tripadvisor.in/Restaurant_Review-g304554-d4155450-Reviews-Mamagoto-Mumbai_Maharashtra.html,Mamagoto,Andheri,Mumbai
39,https://www.tripadvisor.in/Restaurant_Review-g304554-d4155450-Reviews-or10-Mamagoto-Mumbai_Maharashtra.html,Mamagoto,Andheri,Mumbai
40,https://www.tripadvisor.in/Restaurant_Review-g304554-d4155450-Reviews-or20-Mamagoto-Mumbai_Maharashtra.html,Mamagoto,Andheri,Mumbai
41,https://www.tripadvisor.in/Restaurant_Review-g304554-d4155450-Reviews-or30-Mamagoto-Mumbai_Maharashtra.html,Mamagoto,Andheri,Mumbai
42,https://www.tripadvisor.in/Restaurant_Review-g304554-d4155450-Reviews-or40-Mamagoto-Mumbai_Maharashtra.html,Mamagoto,Andheri,Mumbai
